,mean,ci,context,l_win
0,4.143555641174316,0.06747841089963913,none,50
1,3.3586037158966064,0.06541915237903595,user,50
2,3.8318686485290527,0.06085953861474991,peer,50
3,4.022723197937012,0.062198687344789505,random,50
4,3.747678279876709,0.06553305685520172,none,100
5,3.2198173999786377,0.06451306492090225,user,100
6,3.600794553756714,0.0611911304295063,peer,100
7,3.742771625518799,0.061932072043418884,random,100
8,3.6169321537017822,0.06487863510847092,none,150
9,3.1837871074676514,0.0642717257142067,user,150
10,3.5082345008850098,0.06154821068048477,peer,150
11,3.624452590942383,0.06195678934454918,random,150
12,3.4458789825439453,0.06412509828805923,none,250
13,3.137270927429199,0.06398814171552658,user,250
14,3.391261339187622,0.062078796327114105,peer,250
15,3.472785472869873,0.062149081379175186,random,250
16,3.3413538932800293,0.06385619193315506,none,350
17,3.102309226989746,0.06380239129066467,user,350
18,3.310317277908325,0.06218213960528374,peer,350
19,3.3760085105895996,0.06211571395397186,random,350
20,3.2649261951446533,0.06380026042461395,none,450
21,3.078488826751709,0.06365285813808441,user,450
22,3.2401740550994873,0.062475066632032394,peer,450
23,3.292015314102173,0.06227518245577812,random,450
24,3.220294713973999,0.06354890018701553,none,574
25,3.054553270339966,0.06338116526603699,user,574
26,3.204227924346924,0.0626249834895134,peer,574
27,3.246899127960205,0.06228939816355705,random,574
