,mean,ci,context,l_ctxt
0,3.1224939823150635,0.06349567323923111,none,0
1,3.1224939823150635,0.06349567323923111,user,0
2,3.1224939823150635,0.06349567323923111,peer,0
3,3.1224939823150635,0.06349567323923111,random,0
4,3.138059139251709,0.06346239149570465,none,150
5,3.0913686752319336,0.06301824748516083,user,150
6,3.13901948928833,0.06301724165678024,peer,150
7,3.1394171714782715,0.0628802701830864,random,150
8,3.172269582748413,0.0634302869439125,none,300
9,3.073550224304199,0.06314438581466675,user,300
10,3.1735355854034424,0.06279554963111877,peer,300
11,3.183077096939087,0.06263116002082825,random,300
12,3.220294713973999,0.06354890018701553,none,450
13,3.054553270339966,0.06338116526603699,user,450
14,3.204227924346924,0.0626249834895134,peer,450
15,3.246899127960205,0.06228939816355705,random,450
16,3.2854866981506348,0.06382308155298233,none,600
17,3.06211256980896,0.0634334459900856,user,600
18,3.2736828327178955,0.06220146268606186,peer,600
19,3.306417226791382,0.06215802952647209,random,600
20,3.3953373432159424,0.0641230046749115,none,750
21,3.078488349914551,0.06371350586414337,user,750
22,3.358374834060669,0.06181066855788231,peer,750
23,3.4097707271575928,0.061518408358097076,random,750
24,3.6712286472320557,0.06494937837123871,none,900
25,3.1429033279418945,0.06363637745380402,user,900
26,3.528148889541626,0.061048854142427444,peer,900
27,3.632920026779175,0.061143532395362854,random,900
28,4.730728626251221,0.07169187068939209,none,1000
29,3.4207420349121094,0.0650978535413742,user,1000
30,3.9967732429504395,0.06061401590704918,peer,1000
31,4.158429145812988,0.06099383905529976,random,1000
